name,mentions,week
Brian Williams,0,2015-04-05
Brian Williams,0,2015-04-12
Brian Williams,0,2015-04-19
Brian Williams,0,2015-04-26
Brian Williams,0,2015-05-03
Brian Williams,0,2015-05-10
Brian Williams,0,2015-05-17
Brian Williams,0,2015-05-24
Brian Williams,1,2015-05-31
Brian Williams,1,2015-06-07
Brian Williams,0,2015-06-14
Mel Brooks,1,2015-04-05
Mel Brooks,1,2015-04-12
Mel Brooks,1,2015-04-19
Mel Brooks,0,2015-04-26
Mel Brooks,1,2015-05-03
Mel Brooks,0,2015-05-10
Mel Brooks,3,2015-05-17
Mel Brooks,0,2015-05-24
Mel Brooks,1,2015-05-31
Mel Brooks,0,2015-06-07
Mel Brooks,1,2015-06-14
Mel Brooks,0,2015-03-29
Mel Brooks,0,2015-03-22
Mel Brooks,0,2015-03-15
Mel Brooks,0,2015-03-08
Mel Brooks,0,2015-03-01
Mel Brooks,0,2015-02-22
Mel Brooks,0,2015-02-15
Stephen King,4,2015-02-22
Stephen King,1,2015-03-01
Stephen King,0,2015-03-08
Stephen King,0,2015-03-15
Stephen King,0,2015-03-22
Stephen King,0,2015-03-29
Stephen King,0,2015-04-05
Stephen King,0,2015-04-12
Stephen King,1,2015-04-19
Stephen King,3,2015-04-26
Stephen King,0,2015-05-03
Stephen King,1,2015-05-10
Stephen King,1,2015-05-17
Stephen King,0,2015-05-24
Stephen King,2,2015-05-31
Stephen King,2,2015-06-07
Stephen King,0,2015-02-15
Stephen King,0,2015-06-14
Paul Simon,1,2015-02-15
Paul Simon,0,2015-02-22
Paul Simon,0,2015-03-01
Paul Simon,0,2015-03-08
Paul Simon,0,2015-03-15
Paul Simon,0,2015-03-22
Paul Simon,0,2015-03-29
Paul Simon,0,2015-04-05
Paul Simon,2,2015-04-12
Paul Simon,0,2015-04-19
Paul Simon,1,2015-04-26
Paul Simon,0,2015-05-03
Paul Simon,1,2015-05-10
Paul Simon,1,2015-05-17
Paul Simon,3,2015-05-24
Paul Simon,0,2015-05-31
Paul Simon,0,2015-06-07
Paul Simon,0,2015-06-14
Jeb Bush,1,2015-02-15
Jeb Bush,4,2015-02-22
Jeb Bush,0,2015-03-01
Jeb Bush,0,2015-03-08
Jeb Bush,0,2015-03-15
Jeb Bush,0,2015-03-22
Jeb Bush,1,2015-03-29
Jeb Bush,2,2015-04-05
Jeb Bush,6,2015-04-12
Jeb Bush,2,2015-04-19
Jeb Bush,0,2015-04-26
Jeb Bush,2,2015-05-03
Jeb Bush,1,2015-05-10
Jeb Bush,0,2015-05-17
Jeb Bush,1,2015-05-24
Jeb Bush,0,2015-05-31
Jeb Bush,2,2015-06-07
Jeb Bush,0,2015-06-14
Ben Carson,2,2015-02-22
Ben Carson,1,2015-03-01
Ben Carson,0,2015-03-08
Ben Carson,0,2015-03-15
Ben Carson,0,2015-03-22
Ben Carson,0,2015-03-29
Ben Carson,0,2015-04-05
Ben Carson,0,2015-04-12
Ben Carson,0,2015-04-19
Ben Carson,0,2015-04-26
Ben Carson,4,2015-05-03
Ben Carson,2,2015-05-10
Ben Carson,1,2015-05-17
Ben Carson,0,2015-02-15
Ben Carson,0,2015-05-24
Ben Carson,0,2015-05-31
Ben Carson,0,2015-06-07
Ben Carson,0,2015-06-14
Rick Santorum,1,2015-02-22
Rick Santorum,0,2015-03-01
Rick Santorum,0,2015-03-08
Rick Santorum,0,2015-03-15
Rick Santorum,1,2015-03-22
Rick Santorum,0,2015-03-29
Rick Santorum,0,2015-04-05
Rick Santorum,4,2015-04-12
Rick Santorum,0,2015-04-19
Rick Santorum,0,2015-04-26
Rick Santorum,0,2015-05-03
Rick Santorum,0,2015-05-10
Rick Santorum,1,2015-05-17
Rick Santorum,1,2015-05-24
Rick Santorum,1,2015-05-31
Rick Santorum,0,2015-02-15
Rick Santorum,0,2015-06-07
Rick Santorum,0,2015-06-14
Benjamin Walker,1,2015-03-01
Benjamin Walker,0,2015-03-08
Benjamin Walker,1,2015-03-15
Benjamin Walker,1,2015-03-22
Benjamin Walker,0,2015-03-29
Benjamin Walker,0,2015-04-05
Benjamin Walker,0,2015-04-12
Benjamin Walker,3,2015-04-19
Benjamin Walker,0,2015-04-26
Benjamin Walker,0,2015-05-03
Benjamin Walker,2,2015-05-10
Benjamin Walker,1,2015-05-17
Benjamin Walker,0,2015-02-22
Benjamin Walker,0,2015-02-15
Benjamin Walker,0,2015-05-24
Benjamin Walker,0,2015-05-31
Benjamin Walker,0,2015-06-07
Benjamin Walker,0,2015-06-14
Tina Fey,1,2015-02-22
Tina Fey,2,2015-03-01
Tina Fey,0,2015-03-08
Tina Fey,0,2015-03-15
Tina Fey,0,2015-03-22
Tina Fey,0,2015-03-29
Tina Fey,0,2015-04-05
Tina Fey,1,2015-04-12
Tina Fey,1,2015-04-19
Tina Fey,1,2015-04-26
Tina Fey,1,2015-05-03
Tina Fey,0,2015-05-10
Tina Fey,0,2015-05-17
Tina Fey,1,2015-05-24
Tina Fey,0,2015-05-31
Tina Fey,1,2015-06-07
Tina Fey,0,2015-02-15
Tina Fey,0,2015-06-14
George Lucas,2,2015-02-15
George Lucas,1,2015-02-22
George Lucas,0,2015-03-01
George Lucas,0,2015-03-08
George Lucas,0,2015-03-15
George Lucas,0,2015-03-22
George Lucas,0,2015-03-29
George Lucas,1,2015-04-05
George Lucas,3,2015-04-12
George Lucas,0,2015-04-19
George Lucas,0,2015-04-26
George Lucas,1,2015-05-03
George Lucas,0,2015-05-10
George Lucas,2,2015-05-17
George Lucas,3,2015-05-24
George Lucas,0,2015-05-31
George Lucas,0,2015-06-07
George Lucas,0,2015-06-14
George W. Bush,4,2015-02-15
George W. Bush,0,2015-02-22
George W. Bush,0,2015-03-01
George W. Bush,2,2015-03-08
George W. Bush,2,2015-03-15
George W. Bush,3,2015-03-22
